"Survey","Method","Reef_1","Reef_2","Site","Survey_Day","Dive_No","Transect","OpCode","Family","Genus","Species","Number","Length_mm","Comment","Reader","T_ID","Date","Site_lat","Site_long","Depth_m","Temperature","Situation","Habitat","Aspect_descriptive","Aspect_scale","Benthic_Complexity","Zero_obs","Binomial","Biomass.Constant.A","Biomass.Constant.B","Biomass.Constant.C","Trophic.Level","Trophic.Group","Functional.Group","Weight_G.sp","Biomass_G","Length_cm"
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T1","Bougainville_D1_Feb2021","Serranidae","Pseudanthias","pleurotaenia",4,153,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T1","22/02/2021",-15.487239,147.090348,65,27.5,"outer","outer_reef","steep_slope",3,5,FALSE,"Pseudanthias pleurotaenia",0.00933,2.97,1,3.4,"planktivore","planktivore",30.7903902436751,123.1615609747,15.3
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T1","Bougainville_D1_Feb2021","Balistidae","Sufflamen","bursa",8,157.234,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T1","22/02/2021",-15.487239,147.090348,65,27.5,"outer","outer_reef","steep_slope",3,5,FALSE,"Sufflamen bursa",0.0257,2.94,1,2.9,"invertivore-mobile","micro-invertivore",84.67978064035,677.4382451228,15.7234
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T1","Bougainville_D1_Feb2021","Acanthuridae","Acanthurus","thompsoni",2,161.821,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T1","22/02/2021",-15.487239,147.090348,65,27.5,"outer","outer_reef","steep_slope",3,5,FALSE,"Acanthurus thompsoni",0.01698,2.99,1,3.64,"planktivore","planktivore",69.9764617080685,139.952923416137,16.1821
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T1","Bougainville_D1_Feb2021","Acanthuridae","Acanthurus","thompsoni",1,167,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T1","22/02/2021",-15.487239,147.090348,65,27.5,"outer","outer_reef","steep_slope",3,5,FALSE,"Acanthurus thompsoni",0.01698,2.99,1,3.64,"planktivore","planktivore",76.8882426169286,76.8882426169286,16.7
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T1","Bougainville_D1_Feb2021","Acanthuridae","Acanthurus","blochii",1,333.383,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T1","22/02/2021",-15.487239,147.090348,65,27.5,"outer","outer_reef","steep_slope",3,5,FALSE,"Acanthurus blochii",0.014365,3.073704,1,2,"herbivore-detritivore","cropper/grazer",689.259888429806,689.259888429806,33.3383
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T1","Bougainville_D1_Feb2021","Carangidae","Caranx","lugubris",1,342.005,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T1","22/02/2021",-15.487239,147.090348,65,27.5,"outer","outer_reef","steep_slope",3,5,FALSE,"Caranx lugubris",0.01449,2.90695,1,4,"piscivore","pisci-invertivore",417.276600448569,417.276600448569,34.2005
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T1","Bougainville_D1_Feb2021","Carangidae","Caranx","lugubris",1,389.222,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T1","22/02/2021",-15.487239,147.090348,65,27.5,"outer","outer_reef","steep_slope",3,5,FALSE,"Caranx lugubris",0.01449,2.90695,1,4,"piscivore","pisci-invertivore",607.704789323446,607.704789323446,38.9222
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T1","Bougainville_D1_Feb2021","Carangidae","Caranx","lugubris",1,583.32,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T1","22/02/2021",-15.487239,147.090348,65,27.5,"outer","outer_reef","steep_slope",3,5,FALSE,"Caranx lugubris",0.01449,2.90695,1,4,"piscivore","pisci-invertivore",1970.02325527966,1970.02325527966,58.332
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T1","Bougainville_D1_Feb2021","Serranidae","Plectropomus","laevis",1,705.666,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T1","22/02/2021",-15.487239,147.090348,65,27.5,"outer","outer_reef","steep_slope",3,5,FALSE,"Plectropomus laevis",0.00523,3.23774,1,4.14,"piscivore","pisci-invertivore",5055.74591977264,5055.74591977264,70.5666
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T1","Bougainville_D1_Feb2021","Carcharhinidae","Carcharhinus","albimarginatus",1,1369.106,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T1","22/02/2021",-15.487239,147.090348,65,27.5,"outer","outer_reef","steep_slope",3,5,FALSE,"Carcharhinus albimarginatus",0.00437,3.1,1,4.48,"piscivore","piscivore",18341.5639983333,18341.5639983333,136.9106
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T1","Bougainville_D1_Feb2021","Carcharhinidae","Carcharhinus","amblyrhynchos",1,1874.76,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T1","22/02/2021",-15.487239,147.090348,65,27.5,"outer","outer_reef","steep_slope",3,5,FALSE,"Carcharhinus amblyrhynchos",0.005055,3.21133,1,4.5,"piscivore","pisci-invertivore",100669.939280843,100669.939280843,187.476
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T1","Bougainville_D1_Feb2021","Carcharhinidae","Carcharhinus","albimarginatus",1,2855.42,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T1","22/02/2021",-15.487239,147.090348,65,27.5,"outer","outer_reef","steep_slope",3,5,FALSE,"Carcharhinus albimarginatus",0.00437,3.1,1,4.48,"piscivore","piscivore",179084.67699652,179084.67699652,285.542
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T1","Bougainville_D1_Feb2021","Pomacentridae","Chromis","amboinensis",4,NA,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T1","22/02/2021",-15.487239,147.090348,65,27.5,"outer","outer_reef","steep_slope",3,5,FALSE,"Chromis amboinensis",0.01778,2.99,1,2.74,"omnivore","planktivore",NA,NA,NA
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T1","Bougainville_D1_Feb2021","Pomacentridae","Chromis","amboinensis",4,NA,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T1","22/02/2021",-15.487239,147.090348,65,27.5,"outer","outer_reef","steep_slope",3,5,FALSE,"Chromis amboinensis",0.01778,2.99,1,2.74,"omnivore","planktivore",NA,NA,NA
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T1","Bougainville_D1_Feb2021","Serranidae","Pseudanthias","pleurotaenia",3,143.76,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T1","22/02/2021",-15.487239,147.090348,65,27.5,"outer","outer_reef","steep_slope",3,5,FALSE,"Pseudanthias pleurotaenia",0.00933,2.97,1,3.4,"planktivore","planktivore",25.5897883629962,76.7693650889887,14.376
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T10","Bougainville_D1_Feb2021","Pomacentridae","Chromis","iomelas",6,61.43,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T10","22/02/2021",-15.487239,147.090348,54.7,28,"outer","outer_reef","steep_slope",3,5,FALSE,"Chromis iomelas",0.01221,3.094234,1,2.69,"planktivore","planktivore",3.35853175859683,20.151190551581,6.143
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T10","Bougainville_D1_Feb2021","Pomacentridae","Chromis","amboinensis",8,62.501,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T10","22/02/2021",-15.487239,147.090348,54.7,28,"outer","outer_reef","steep_slope",3,5,FALSE,"Chromis amboinensis",0.01778,2.99,1,2.74,"omnivore","planktivore",4.26219960969871,34.0975968775896,6.2501
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T10","Bougainville_D1_Feb2021","Pomacentridae","Chromis","margaritifer",5,68.51,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T10","22/02/2021",-15.487239,147.090348,54.7,28,"outer","outer_reef","steep_slope",3,5,FALSE,"Chromis margaritifer",0.01778,2.99,1,2.95,"omnivore","planktivore",5.60836305215559,28.0418152607779,6.851
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T10","Bougainville_D1_Feb2021","Pomacentridae","Chromis","amboinensis",8,72,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T10","22/02/2021",-15.487239,147.090348,54.7,28,"outer","outer_reef","steep_slope",3,5,FALSE,"Chromis amboinensis",0.01778,2.99,1,2.74,"omnivore","planktivore",6.50662714914915,52.0530171931932,7.2
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T10","Bougainville_D1_Feb2021","Pomacentridae","Chromis","amboinensis",12,77.127,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T10","22/02/2021",-15.487239,147.090348,54.7,28,"outer","outer_reef","steep_slope",3,5,FALSE,"Chromis amboinensis",0.01778,2.99,1,2.74,"omnivore","planktivore",7.99243309039034,95.9091970846841,7.7127
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T10","Bougainville_D1_Feb2021","Pomacentridae","Chromis","amboinensis",12,78,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T10","22/02/2021",-15.487239,147.090348,54.7,28,"outer","outer_reef","steep_slope",3,5,FALSE,"Chromis amboinensis",0.01778,2.99,1,2.74,"omnivore","planktivore",8.26598511099468,99.1918213319362,7.8
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T10","Bougainville_D1_Feb2021","Pomacentridae","Chromis","xanthochira",2,78,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T10","22/02/2021",-15.487239,147.090348,54.7,28,"outer","outer_reef","steep_slope",3,5,FALSE,"Chromis xanthochira",0.01778,2.99,1,2.72,"planktivore","planktivore",8.26598511099468,16.5319702219894,7.8
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T10","Bougainville_D1_Feb2021","Pomacentridae","Acanthochromis","polyacanthus",6,98.65,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T10","22/02/2021",-15.487239,147.090348,54.7,28,"outer","outer_reef","steep_slope",3,5,FALSE,"Acanthochromis polyacanthus",0.0429,3.045,0.667,2.69,"omnivore","planktivore",45.6544305297269,273.926583178362,9.865
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T10","Bougainville_D1_Feb2021","Pomacentridae","Acanthochromis","polyacanthus",16,100.32,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T10","22/02/2021",-15.487239,147.090348,54.7,28,"outer","outer_reef","steep_slope",3,5,FALSE,"Acanthochromis polyacanthus",0.0429,3.045,0.667,2.69,"omnivore","planktivore",48.0487729379428,768.780367007084,10.032
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T10","Bougainville_D1_Feb2021","Pomacanthidae","Paracentropyge","multifasciata",1,103,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T10","22/02/2021",-15.487239,147.090348,54.7,28,"outer","outer_reef","steep_slope",3,5,FALSE,"Paracentropyge multifasciata",0.0302,2.89,1,2.79,"invertivore-mobile","micro-invertivore",25.5332749782716,25.5332749782716,10.3
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T10","Bougainville_D1_Feb2021","Pomacentridae","Chromis","weberi",1,105.035,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T10","22/02/2021",-15.487239,147.090348,54.7,28,"outer","outer_reef","steep_slope",3,5,FALSE,"Chromis weberi",0.01778,2.99,1,3.4,"planktivore","planktivore",20.1242885396949,20.1242885396949,10.5035
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T10","Bougainville_D1_Feb2021","Pomacentridae","Acanthochromis","polyacanthus",4,115.627,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T10","22/02/2021",-15.487239,147.090348,54.7,28,"outer","outer_reef","steep_slope",3,5,FALSE,"Acanthochromis polyacanthus",0.0429,3.045,0.667,2.69,"omnivore","planktivore",74.0410778232774,296.16431129311,11.5627
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T10","Bougainville_D1_Feb2021","Pomacentridae","Chromis","xanthochira",3,128.641,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T10","22/02/2021",-15.487239,147.090348,54.7,28,"outer","outer_reef","steep_slope",3,5,FALSE,"Chromis xanthochira",0.01778,2.99,1,2.72,"planktivore","planktivore",36.8957365735103,110.687209720531,12.8641
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T10","Bougainville_D1_Feb2021","Pomacanthidae","Genicanthus","melanospilos",1,130.777,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T10","22/02/2021",-15.487239,147.090348,54.7,28,"outer","outer_reef","steep_slope",3,5,FALSE,"Genicanthus melanospilos",0.0302,2.89,1,3.4,"planktivore","planktivore",50.9075977357369,50.9075977357369,13.0777
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T10","Bougainville_D1_Feb2021","Labridae","Bodianus","anthioides",1,132.662,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T10","22/02/2021",-15.487239,147.090348,54.7,28,"outer","outer_reef","steep_slope",3,5,FALSE,"Bodianus anthioides",0.01202,3.06,1,3.44,"invertivore-mobile","micro-invertivore",32.7724478667004,32.7724478667004,13.2662
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T10","Bougainville_D1_Feb2021","Labridae","Bodianus","anthioides",1,133.827,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T10","22/02/2021",-15.487239,147.090348,54.7,28,"outer","outer_reef","steep_slope",3,5,FALSE,"Bodianus anthioides",0.01202,3.06,1,3.44,"invertivore-mobile","micro-invertivore",33.6611012129732,33.6611012129732,13.3827
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T10","Bougainville_D1_Feb2021","Serranidae","Pseudanthias","pleurotaenia",2,154,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T10","22/02/2021",-15.487239,147.090348,54.7,28,"outer","outer_reef","steep_slope",3,5,FALSE,"Pseudanthias pleurotaenia",0.00933,2.97,1,3.4,"planktivore","planktivore",31.3919420965779,62.7838841931558,15.4
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T10","Bougainville_D1_Feb2021","Serranidae","Cephalopholis","leopardus",1,163.41,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T10","22/02/2021",-15.487239,147.090348,54.7,28,"outer","outer_reef","steep_slope",3,5,FALSE,"Cephalopholis leopardus",0.01259,3.05,1,4.01,"piscivore","pisci-invertivore",63.1721345330496,63.1721345330496,16.341
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T10","Bougainville_D1_Feb2021","Serranidae","Cephalopholis","leopardus",1,169.465,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T10","22/02/2021",-15.487239,147.090348,54.7,28,"outer","outer_reef","steep_slope",3,5,FALSE,"Cephalopholis leopardus",0.01259,3.05,1,4.01,"piscivore","pisci-invertivore",70.5861961694112,70.5861961694112,16.9465
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T10","Bougainville_D1_Feb2021","Acanthuridae","Acanthurus","thompsoni",8,214.535,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T10","22/02/2021",-15.487239,147.090348,54.7,28,"outer","outer_reef","steep_slope",3,5,FALSE,"Acanthurus thompsoni",0.01698,2.99,1,3.64,"planktivore","planktivore",162.598737162942,1300.78989730354,21.4535
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T10","Bougainville_D1_Feb2021","Serranidae","Pseudanthias","pleurotaenia",2,145.65,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T10","22/02/2021",-15.487239,147.090348,54.7,28,"outer","outer_reef","steep_slope",3,5,FALSE,"Pseudanthias pleurotaenia",0.00933,2.97,1,3.4,"planktivore","planktivore",26.6019697925913,53.2039395851825,14.565
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T10","Bougainville_D1_Feb2021","Pomacentridae","Chromis","alpha",4,87.43,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T10","22/02/2021",-15.487239,147.090348,54.7,28,"outer","outer_reef","steep_slope",3,5,FALSE,"Chromis alpha",0.01778,2.99,1,3,"planktivore","planktivore",11.6277741306341,46.5110965225363,8.743
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T10","Bougainville_D1_Feb2021","Pomacentridae","Chromis","alpha",6,85.43,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T10","22/02/2021",-15.487239,147.090348,54.7,28,"outer","outer_reef","steep_slope",3,5,FALSE,"Chromis alpha",0.01778,2.99,1,3,"planktivore","planktivore",10.850428054874,65.1025683292437,8.543
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T10","Bougainville_D1_Feb2021","Pomacentridae","Chromis","amboinensis",6,78.65,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T10","22/02/2021",-15.487239,147.090348,54.7,28,"outer","outer_reef","steep_slope",3,5,FALSE,"Chromis amboinensis",0.01778,2.99,1,2.74,"omnivore","planktivore",8.47365836117872,50.8419501670723,7.865
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T10","Bougainville_D1_Feb2021","Gobiidae","Nemateleotris","magnifica",2,99.756,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T10","22/02/2021",-15.487239,147.090348,54.7,28,"outer","outer_reef","steep_slope",3,5,FALSE,"Nemateleotris magnifica",0.00389,3.12,1,3.1,"planktivore","planktivore",5.0890810095421,10.1781620190842,9.9756
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T10","Bougainville_D1_Feb2021","Scaridae","Scarus","chameleon",1,387.65,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T10","22/02/2021",-15.487239,147.090348,54.7,28,"outer","outer_reef","steep_slope",3,5,FALSE,"Scarus chameleon",0.01445,3.04,1,2,"herbivore-detritivore","scraper",974.372018303905,974.372018303905,38.765
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T10","Bougainville_D1_Feb2021","Pomacentridae","Chromis","iomelas",5,47.65,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T10","22/02/2021",-15.487239,147.090348,54.7,28,"outer","outer_reef","steep_slope",3,5,FALSE,"Chromis iomelas",0.01221,3.094234,1,2.69,"planktivore","planktivore",1.53038591032512,7.65192955162562,4.765
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T10","Bougainville_D1_Feb2021","Labridae","Anampses","meleagrides",1,176.54,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T10","22/02/2021",-15.487239,147.090348,54.7,28,"outer","outer_reef","steep_slope",3,5,FALSE,"Anampses meleagrides",0.01,3.06,1,3.5,"invertivore-mobile","micro-invertivore",65.36420059016,65.36420059016,17.654
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T10","Bougainville_D1_Feb2021","Serranidae","Cephalopholis","leopardus",1,158.76,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T10","22/02/2021",-15.487239,147.090348,54.7,28,"outer","outer_reef","steep_slope",3,5,FALSE,"Cephalopholis leopardus",0.01259,3.05,1,4.01,"piscivore","pisci-invertivore",57.8476945465885,57.8476945465885,15.876
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T11","Bougainville_D1_Feb2021","Pomacentridae","Chromis","iomelas",5,47.238,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T11","22/02/2021",-15.487239,147.090348,47.4,28,"outer","outer_reef","wall",4,5,FALSE,"Chromis iomelas",0.01221,3.094234,1,2.69,"planktivore","planktivore",1.48981161146245,7.44905805731223,4.7238
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T11","Bougainville_D1_Feb2021","Pomacentridae","Chromis","iomelas",12,48.65,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T11","22/02/2021",-15.487239,147.090348,47.4,28,"outer","outer_reef","wall",4,5,FALSE,"Chromis iomelas",0.01221,3.094234,1,2.69,"planktivore","planktivore",1.63196470739245,19.5835764887094,4.865
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T11","Bougainville_D1_Feb2021","Pomacentridae","Chromis","amboinensis",8,50.972,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T11","22/02/2021",-15.487239,147.090348,47.4,28,"outer","outer_reef","wall",4,5,FALSE,"Chromis amboinensis",0.01778,2.99,1,2.74,"omnivore","planktivore",2.31661286171067,18.5329028936854,5.0972
"Feb_21","ROV_stereo","Bougainville","Bougainville","BOUG-01","D1","Dive_1","T11","Bougainville_D1_Feb2021","Pomacentridae","Acanthochromis","polyacanthus",8,53.205,NA,"GFG","Feb_21-BOUG-01-D1-Dive_1-T11","22/02/2021",-15.487239,147.090348,47.4,28,"outer","outer_reef","wall",4,5,FALSE,"Acanthochromis polyacanthus",0.0429,3.045,0.667,2.69,"omnivore","planktivore",6.96598435774235,55.7278748619388,5.3205
