"","Site","Transect","Depth_m","Habitat","Aspect","Diversity","Observed","Estimator","s.e.","LCL","UCL"
"24","BOUG-01","T10",20.3,"outer_slope","wall","Species richness",1,1,0,1,1
"25","BOUG-01","T10",54.7,"outer_slope","steep_slope","Species richness",1,1,0,1,1
"26","BOUG-01","T11",17.6,"outer_slope","wall","Species richness",2,2,0.301511344577764,2,2.59095137630266
"27","BOUG-01","T12",13.8,"outer_slope","steep_slope","Species richness",7,20.3333333333333,7.49747432220486,7,35.0281129798687
"28","BOUG-01","T12",45.5,"outer_slope","steep_slope","Species richness",2,2.5,0.676891289781319,2,3.82668254942025
"29","BOUG-01","T13",12.5,"outer_slope","wall","Species richness",3,3.95833333333333,0.829248061881437,3,5.58362966887059
"30","BOUG-01","T14",9.3,"outer_slope","wall","Species richness",8,17.6296296296296,6.75743142306142,8,30.8739518468293
"31","BOUG-01","T15",7.5,"outer_slope","wall","Species richness",10,11.44,4.26303564511431,10,19.7953963292345
"32","BOUG-01","T16",36.4,"outer_slope","wall","Species richness",2,2.33333333333333,1.16792140319475,2,4.62241722036853
"33","BOUG-01","T16",5.5,"outer_slope","wall","Species richness",7,20.8461538461538,7.42371898781636,7,35.3963756936201
"34","BOUG-01","T17",3.6,"outer_slope","steep_slope","Species richness",15,16.4896551724138,4.12205349387337,15,24.5687315627531
"35","BOUG-01","T17",35.1,"outer_slope","wall","Species richness",3,3.83333333333333,1.31150161108167,3,6.40382925671966
"36","BOUG-01","T18",28.5,"outer_slope","wall","Species richness",1,1,0,1,1
"37","BOUG-01","T19",22.3,"outer_slope","wall","Species richness",1,1,0,1,1
"38","BOUG-01","T2",66.7,"outer_slope","wall","Species richness",2,2.5,0.719058728161653,2,3.90932920996602
"39","BOUG-01","T4",67.8,"outer_slope","wall","Species richness",1,1,0,1,1
"40","BOUG-01","T4",85.7,"outer_slope","wall","Species richness",1,1,0,1,1
"41","BOUG-01","T5",81.9,"outer_slope","steep_slope","Species richness",1,1,0,1,1
"42","BOUG-01","T6",58.1,"outer_slope","steep_slope","Species richness",3,3.83333333333333,0.944433674923743,3,5.68438932197068
"43","BOUG-01","T6",76.4,"outer_slope","steep_slope","Species richness",1,1,0,1,1
"44","BOUG-01","T7",57.8,"outer_slope","steep_slope","Species richness",2,2.5,0.75,2,3.96997298840504
"45","BOUG-01","T8",57.2,"outer_slope","steep_slope","Species richness",1,1,0,1,1
"46","BOUG-01","T8",66.3,"outer_slope","steep_slope","Species richness",3,4.5,2.31535825270817,3,9.03801878661561
"47","BOUG-02","T1",67.1,"outer_slope","steep_slope","Species richness",2,2.33333333333333,1.08866210790363,2,4.46707185615792
"48","BOUG-02","T10",52.1,"outer_slope","steep_slope","Species richness",3,4.5,2.22869260039843,3,8.86815722939184
"49","BOUG-02","T11",47.6,"outer_slope","steep_slope","Species richness",1,1,0,1,1
"50","BOUG-02","T13",45.8,"outer_slope","steep_slope","Species richness",2,2.33333333333333,1.04446593573419,2,4.38044895045127
"51","BOUG-02","T14",45,"outer_slope","moderate_slope","Species richness",1,1,0,1,1
"52","BOUG-02","T15",44.9,"outer_slope","wall","Species richness",1,1,0,1,1
"53","BOUG-02","T18",33.1,"outer_slope","wall","Species richness",1,1,0,1,1
"54","BOUG-02","T19",32.5,"outer_slope","steep_slope","Species richness",5,5.93333333333333,2.2335667108689,5,10.311043643704
"55","BOUG-02","T2",67.1,"outer_slope","steep_slope","Species richness",2,2.5,0.708872343937891,2,3.88936426375476
"56","BOUG-02","T20",31.1,"outer_slope","moderate_slope","Species richness",11,45.1052631578947,18.2729752729345,11,80.9196365832373
"57","BOUG-02","T21",28.4,"outer_slope","wall","Species richness",4,8.5,2.23025001995632,4.12879028436588,12.8712097156341
"58","BOUG-02","T22",27.3,"outer_slope","wall","Species richness",4,6.5,2.44380214242798,4,11.2897641845007
"59","BOUG-02","T23",24.8,"outer_slope","steep_slope","Species richness",3,5,1.35338458379347,3,7.65258504146694
"60","BOUG-02","T24",24.2,"outer_slope","wall","Species richness",2,2.5,0.66929406500771,2,3.81179226248152
"61","BOUG-02","T25",22.3,"outer_slope","steep_slope","Species richness",7,18.25,7.44791789680007,7,32.8476508375394
"62","BOUG-02","T26",15.4,"outer_slope","moderate_slope","Species richness",3,5,1.37340459427421,3,7.6918235409793
"63","BOUG-02","T27",13.4,"outer_slope","steep_slope","Species richness",6,13.1111111111111,7.33645785900439,6,27.4903042888555
"64","BOUG-02","T28",9.8,"outer_slope","steep_slope","Species richness",3,5,1.41430879240333,3,7.77199429612886
"65","BOUG-02","T3",64.5,"outer_slope","steep_slope","Species richness",2,2,0.468826172262151,2,2.91888241264359
"66","BOUG-02","T5",63,"outer_slope","wall","Species richness",1,1,0,1,1
"67","BOUG-02","T6",58.4,"outer_slope","moderate_slope","Species richness",1,1,0,1,1
"68","BOUG-02","T7",57.7,"outer_slope","moderate_slope","Species richness",1,1,0,1,1
"69","BOUG-02","T8",55.3,"outer_slope","moderate_slope","Species richness",7,14.4285714285714,6.36489304815902,7,26.9035325684125
"70","BOUG-02","T9",53.6,"outer_slope","moderate_slope","Species richness",3,5,1.39905371258027,3,7.74209488909437
"71","EDIA-01","T1",48,"lagoon","flat","Species richness",1,1,0,1,1
"72","EDIA-01","T10",25,"lagoon","gentle_slope","Species richness",3,3.85714285714286,0.954020234218051,3,5.7269881567327
"73","EDIA-01","T11",26,"lagoon","moderate_slope","Species richness",3,3.45454545454545,1.29247849801665,3,5.98775676145051
"74","EDIA-01","T12",21,"lagoon","moderate_slope","Species richness",6,11.5714285714286,3.90750971854361,6,19.2300068890143
"75","EDIA-01","T13",15,"lagoon","moderate_slope","Species richness",1,1,0,1,1
"76","EDIA-01","T14",19,"lagoon","wall","Species richness",3,5,1.519584088647,3,7.97833008522824
"77","EDIA-01","T15",15,"lagoon","wall","Species richness",1,1,0,1,1
"78","EDIA-01","T16",10,"lagoon","wall","Species richness",3,3,0.669109057191175,3,4.31142965382425
"79","EDIA-01","T2",50,"lagoon","flat","Species richness",1,1,0,1,1
"80","EDIA-01","T3",48,"lagoon","gentle_slope","Species richness",3,3,0.361438701448256,3,3.70840683745751
"81","EDIA-01","T4",45,"lagoon","gentle_slope","Species richness",2,2,0.272659924344291,2,2.53440363174223
"82","EDIA-01","T5",45,"lagoon","gentle_slope","Species richness",4,4.46153846153846,1.31037683224028,4,7.02982985890509
"83","EDIA-01","T6",39,"lagoon","gentle_slope","Species richness",4,4.91666666666667,0.878681404008461,4,6.63885057240834
"84","EDIA-01","T7",38,"lagoon","gentle_slope","Species richness",4,4.94736842105263,0.82596100972141,4,6.56622225274093
"85","EDIA-01","T8",32,"lagoon","gentle_slope","Species richness",3,4.5,1.81533173082203,3,8.05798481240393
"86","EDIA-01","T9",32,"lagoon","gentle_slope","Species richness",6,10.25,3.73167882261006,6,17.5639560941866
"87","EDIA-02","T1",30.9,"inner_reef","flat","Species richness",3,4.5,1.93257560908972,3,8.2877785912164
"88","EDIA-02","T10",8.7,"inner_reef","steep_slope","Species richness",3,3.4375,1.31227962315333,3,6.00952079902631
"89","EDIA-02","T2",25,"inner_reef","steep_slope","Species richness",5,9.05,4.1956089058573,5,17.2732423486958
"90","EDIA-02","T4",24.2,"inner_reef","gentle_slope","Species richness",3,3.875,0.920431962093578,3,5.67901349592295
"91","EDIA-02","T5",20,"inner_reef","gentle_slope","Species richness",6,8.025,4.77284561240975,6,17.3796055040931
"92","EDIA-02","T6",19.1,"inner_reef","gentle_slope","Species richness",4,7.6,2.85833249403645,4,13.202228744152
"93","EDIA-02","T7",15.4,"inner_reef","moderate_slope","Species richness",7,14.3333333333333,6.50425338931288,7,27.0814357227092
"94","EDIA-02","T8",15.2,"inner_reef","moderate_slope","Species richness",6,6.92857142857143,2.30519851757907,6,11.4466775002415
"95","EDIA-02","T9",9,"inner_reef","steep_slope","Species richness",5,9.21875,3.93658078095058,5,16.9343065528957
"96","EDNA-01","T10",19.1,"outer_slope","flat","Species richness",1,1,0,1,1
"97","EDNA-01","T11",14,"outer_slope","moderate_slope","Species richness",1,1,0,1,1
"98","EDNA-01","T12",9.8,"outer_slope","flat","Species richness",5,5,0.755983437202235,5,6.48170030982518
"99","EDNA-01","T3",79,"outer_slope","moderate_slope","Species richness",5,5.88888888888889,2.70094204236208,5,11.1826380162486
"100","EDNA-01","T7",48,"outer_slope","moderate_slope","Species richness",2,2.33333333333333,1.02546696269675,2,4.34321164755464
"101","EDNA-01","T8",39,"outer_slope","moderate_slope","Species richness",9,18.4736842105263,7.8624975551525,9,33.8838962471594
"102","EDNA-01","T9",26.7,"outer_slope","gentle_slope","Species richness",4,4.47222222222222,1.43066509020617,4,7.27627427296506
"103","FLIN-01","T1",35.6,"outer_slope","steep_slope","Species richness",6,7.33333333333333,3.38822443855049,6,13.9741312044307
"104","FLIN-01","T1",41.5,"outer_slope","steep_slope","Species richness",3,5,1.45837878717043,3,7.85836989867124
"105","FLIN-01","T10",45.7,"outer_slope","gentle_slope","Species richness",1,1,0,1,1
"106","FLIN-01","T2",34.3,"outer_slope","steep_slope","Species richness",2,2.5,0.62449979983984,2,3.72399711603856
"107","FLIN-01","T2",37.1,"outer_slope","wall","Species richness",4,6.5,2.89873709875124,4,12.1814203142026
"108","FLIN-01","T3",30.2,"outer_slope","steep_slope","Species richness",3,3.42857142857143,1.22434842515189,3,5.82825024639747
"109","FLIN-01","T3",42.1,"outer_slope","wall","Species richness",1,1,0,1,1
"110","FLIN-01","T4",25.3,"outer_slope","steep_slope","Species richness",2,2,0.429234695990928,2,2.84128454505722
"111","FLIN-01","T4",35.2,"outer_slope","wall","Species richness",3,5,1.4518999511032,3,7.84567161331773
"112","FLIN-01","T5",20.4,"outer_slope","steep_slope","Species richness",3,3.8,1.51207262932825,3,6.76360789549214
"113","FLIN-01","T6",15.3,"outer_slope","steep_slope","Species richness",3,4.5,1.99251123211414,3,8.40525025373524
"114","FLIN-01","T6",34.3,"outer_slope","steep_slope","Species richness",1,1,0,1,1
"115","FLIN-01","T7",45.2,"outer_slope","wall","Species richness",1,1,0,1,1
"116","FLIN-01","T7",67.1,"outer_slope","gentle_slope","Species richness",1,1,0,1,1
"117","FLIN-01","T7",9.9,"outer_slope","moderate_slope","Species richness",4,5.75,1.7851938146931,4,9.24891558222216
"118","FLIN-01","T8",5.2,"outer_slope","gentle_slope","Species richness",3,3.85714285714286,0.900738376421364,3,5.62255763442181
"119","FLIN-02","T4",40,"lagoon","flat","Species richness",1,1,0,1,1
"120","FLIN-02","T5",41.5,"lagoon","flat","Species richness",1,1,0,1,1
"121","FLIN-02","T6",43.3,"lagoon","flat","Species richness",3,3.45,1.4265072438185,3,6.24590282156977
"122","FLIN-02","T7",44,"lagoon","flat","Species richness",3,4.5,1.88836816946123,3,8.20113360169583
"123","FLIN-04","T1",34.1,"lagoon","flat","Species richness",3,3.41666666666667,1.48439412755707,3,6.32602569554128
"124","FLIN-04","T5",18.8,"lagoon","gentle_slope","Species richness",4,4.95454545454546,0.758128448529329,4,6.44044990931817
"125","FRAN-01","T10",8,"outer_slope","gentle_slope","Species richness",2,2.33333333333333,1.29895062541758,2,4.87922977684757
"126","FRAN-01","T7",35,"outer_slope","steep_slope","Species richness",6,18.5,4.81143914947631,9.0697525532204,27.9302474467796
"127","FRAN-01","T8",25,"outer_slope","moderate_slope","Species richness",8,9.4,3.66520579289926,8,16.5836713500101
"128","FRAN-01","T9",14,"outer_slope","moderate_slope","Species richness",4,6.75,1.86008823230848,4,10.3957059433914
"129","FRED-01","T1",34.8,"inner_reef","gentle_slope","Species richness",3,3,0.621097665915805,3,4.21732905607687
"130","FRED-02","T14",24,"lagoon","gentle_slope","Species richness",1,1,0,1,1
"131","GEOR-01","T10",51.4,"outer_slope","moderate_slope","Species richness",2,2,0.377525168068637,2,2.73993573267196
"132","GEOR-01","T13",41.2,"outer_slope","steep_slope","Species richness",1,1,0,1,1
"133","GEOR-01","T14",36.2,"outer_slope","moderate_slope","Species richness",4,5.71428571428571,1.94911510190606,4,9.5344811157447
"134","GEOR-01","T15",32.6,"outer_slope","gentle_slope","Species richness",2,2,0.32659863237109,2,2.64012155684737
"135","HERA-01","T2",35.3,"passage","flat","Species richness",1,1,0,1,1
"136","HERA-01","T4",43.5,"passage","gentle_slope","Species richness",3,3,0.621334744679351,3,4.21779372191492
"137","HERA-01","T5",43.8,"passage","gentle_slope","Species richness",5,7.72727272727273,2.22240950041475,5,12.0831153069853
"138","HERA-01","T6",41.7,"passage","gentle_slope","Species richness",9,16.6666666666667,8.32656666743874,9,32.9864374497183
"139","HERA-01","T7",40.5,"passage","gentle_slope","Species richness",8,8.64197530864197,2.64865495312998,8,13.8332436242504
"140","HERA-01","T8",40.4,"passage","gentle_slope","Species richness",8,8.24107142857143,2.12689094513343,8,12.4097010800773
"141","HERA-01","T9",37.1,"passage","gentle_slope","Species richness",9,9.64285714285714,2.60998459998852,9,14.7583329590388
"142","HERM-01","T1",46.2,"lagoon","flat","Species richness",5,5,1.0561061957205,5,7.06993010746179
"143","HERM-01","T10",30.3,"lagoon","flat","Species richness",8,12.3125,5.75291679570504,8,23.5880097256375
"144","HERM-01","T11",31,"lagoon","flat","Species richness",7,7.1171875,2.81790097972447,7,12.6401719322601
"145","HERM-01","T12",33.2,"lagoon","flat","Species richness",1,1,0,1,1
"146","HERM-01","T13",21.1,"lagoon","flat","Species richness",2,2,0.287623491264661,2,2.56373168398641
"147","HERM-01","T14",22,"lagoon","flat","Species richness",3,3.8,1.48318385355098,3,6.70698693541126
"148","HERM-01","T16",23.7,"lagoon","gentle_slope","Species richness",1,1,0,1,1
"149","HERM-01","T17",14.1,"lagoon","moderate_slope","Species richness",4,7.6,3.13454264219799,4,13.7435906867131
"150","HERM-01","T18",15.2,"lagoon","moderate_slope","Species richness",4,4.9,1.69546304869642,4,8.22304651256346
"151","HERM-01","T19",13.5,"lagoon","moderate_slope","Species richness",6,6.11538461538461,2.60201031576401,6,11.2152311216838
"152","HERM-01","T2",46.6,"lagoon","flat","Species richness",3,3.9,0.808449538663766,3,5.484531979099
"153","HERM-01","T2",48.1,"lagoon","flat","Species richness",2,2,0.479372485441102,2,2.93955280664401
"154","HERM-01","T20",10.2,"lagoon","moderate_slope","Species richness",6,15,4.72190454293882,6,24.2547628425962
"155","HERM-01","T3",46.8,"lagoon","flat","Species richness",2,2,0.256432399976243,2,2.50259826842261
"156","HERM-01","T4",47.1,"lagoon","flat","Species richness",1,1,0,1,1
"157","HERM-01","T5",38.7,"lagoon","flat","Species richness",1,1,0,1,1
"158","HERM-01","T5",46.4,"lagoon","flat","Species richness",1,1,0,1,1
"159","HERM-01","T6",40.2,"lagoon","flat","Species richness",2,2.5,0.735310695000296,2,3.9411824796477
"160","HERM-01","T7",41.2,"lagoon","flat","Species richness",3,3,0.678865661127874,3,4.33055224615161
"161","HERM-01","T7",47.7,"lagoon","flat","Species richness",3,4.5,2.25461927624335,3,8.91897258028673
"162","HERM-01","T8",42.5,"lagoon","flat","Species richness",3,3.41666666666667,1.23611792076209,3,5.83941327200489
"163","HERM-01","T8",47.9,"lagoon","flat","Species richness",2,2,0.301511344577764,2,2.59095137630266
"164","HERM-01","T9",30.1,"lagoon","flat","Species richness",8,29.7777777777778,10.8271961665996,8.55686323769246,50.9986923178631
"165","HOLM-01","T1",55,"outer_slope","steep_slope","Species richness",2,2.33333333333333,1.26413001362915,2,4.81098263182259
"166","HOLM-01","T10",34.7,"outer_slope","gentle_slope","Species richness",3,4.5,1.90570647575044,3,8.23511605757562
"167","HOLM-01","T2",51,"outer_slope","steep_slope","Species richness",5,6.81818181818182,2.43340640531955,5,11.5875707323572
"168","HOLM-01","T3",52.4,"outer_slope","steep_slope","Species richness",1,1,0,1,1
"169","HOLM-01","T4",55,"outer_slope","steep_slope","Species richness",1,1,0,1,1
"170","HOLM-01","T5",46.4,"outer_slope","moderate_slope","Species richness",3,3,0.342313148730335,3,3.67092144294596
"171","HOLM-01","T6",42.5,"outer_slope","moderate_slope","Species richness",3,3,0.548951888268808,3,4.07592593025212
"172","HOLM-01","T7",43,"outer_slope","moderate_slope","Species richness",2,2.5,0.66929406500771,2,3.81179226248152
"173","HOLM-01","T8",36.8,"outer_slope","moderate_slope","Species richness",4,5.75,2.34915172276099,4,10.3542527708318
"174","HOLM-01","T9",36,"outer_slope","moderate_slope","Species richness",5,5.46875,1.45139599775185,5,8.3134338828992
"175","HOLM-02","T1",62.7,"outer_slope","steep_slope","Species richness",2,2.5,0.719058728161653,2,3.90932920996602
"176","HOLM-02","T10",37,"outer_slope","gentle_slope","Species richness",6,10.1538461538462,3.96638940783083,6,17.9278265418557
"177","HOLM-02","T11",35,"outer_slope","gentle_slope","Species richness",12,50.25,22.1345903190699,12,93.632999837926
"178","HOLM-02","T12",31.2,"outer_slope","gentle_slope","Species richness",4,4.83333333333333,2.00677514052932,4,8.7665403338411
"179","HOLM-02","T13",28,"outer_slope","gentle_slope","Species richness",10,13.8095238095238,4.77334889298669,10,23.1651157254218
"180","HOLM-02","T2",63.7,"outer_slope","steep_slope","Species richness",2,2,0.301511344577764,2,2.59095137630266
"181","HOLM-02","T4",63.2,"outer_slope","steep_slope","Species richness",2,2,0.32659863237109,2,2.64012155684737
"182","HOLM-02","T6",56.6,"outer_slope","steep_slope","Species richness",1,1,0,1,1
"183","HOLM-02","T7",54.5,"outer_slope","steep_slope","Species richness",3,5,1.47837384500309,3,7.89755949189206
"184","HOLM-02","T9",45,"outer_slope","wall","Species richness",2,2.5,0.690849279707758,2,3.85403970697264
"185","HOLM-03","T10",9.6,"outer_slope","gentle_slope","Species richness",6,7.88235294117647,3.19372880641835,6,14.1419463781445
"186","HOLM-03","T11",2.3,"outer_slope","gentle_slope","Species richness",7,12.8965517241379,5.27266812894996,7,23.230791359312
"187","HOLM-03","T2",46.8,"outer_slope","gentle_slope","Species richness",1,1,0,1,1
"188","HOLM-03","T3",41.6,"outer_slope","gentle_slope","Species richness",1,1,0,1,1
"189","HOLM-03","T5",32.2,"outer_slope","gentle_slope","Species richness",1,1,0,1,1
"190","HOLM-03","T6",27.3,"outer_slope","gentle_slope","Species richness",3,3.41666666666667,1.27017280123832,3,5.90615961123613
"191","HOLM-03","T7",22.4,"outer_slope","gentle_slope","Species richness",3,3.8,1.49176730657623,3,6.72381019420373
"192","HOLM-03","T8",18.2,"outer_slope","gentle_slope","Species richness",4,4,0.577871670389085,4,5.13260766164861
"193","HOLM-03","T8",61.6,"outer_slope","gentle_slope","Species richness",1,1,0,1,1
"194","HOLM-03","T9",12.6,"outer_slope","gentle_slope","Species richness",6,8.8,3.04604207130534,6,14.7701327551523
"195","HOLM-03","T9",57.1,"outer_slope","gentle_slope","Species richness",1,1,0,1,1
"196","HOLM-04","T10",7,"outer_slope","moderate_slope","Species richness",1,1,0,1,1
"197","HOLM-04","T11",3,"outer_slope","gentle_slope","Species richness",4,6.5,2.72562712231085,4,11.8421309950148
"198","HOLM-04","T3",41,"outer_slope","gentle_slope","Species richness",2,2.33333333333333,1.22817649725824,2,4.74051503461803
"199","HOLM-04","T4",37,"outer_slope","gentle_slope","Species richness",3,3,0.558794966893272,3,4.09521800985306
"200","HOLM-04","T5",32,"outer_slope","gentle_slope","Species richness",7,14.3333333333333,8.09752757338586,7,30.2041957409896
"201","HOLM-04","T6",28,"outer_slope","gentle_slope","Species richness",3,3.8,1.12566209473143,3,6.00625716443552
"202","HOLM-04","T6",71,"outer_slope","wall","Species richness",1,1,0,1,1
"203","HOLM-04","T7",22,"outer_slope","gentle_slope","Species richness",7,10.7333333333333,5.26679063432928,7,21.0560532907316
"204","HOLM-04","T8",17,"outer_slope","gentle_slope","Species richness",9,20.9565217391304,11.5272939732511,9,43.5496027659082
"205","HOLM-04","T9",12,"outer_slope","moderate_slope","Species richness",5,6.92857142857143,3.67377059623124,5,14.1290294846469
"206","HSUP-01","T1",61.3,"outer_slope","steep_slope","Species richness",2,2.5,0.661266003415212,2,3.79605755089456
"207","HSUP-01","T2",55.5,"outer_slope","steep_slope","Species richness",3,4.5,1.84825197241484,3,8.12250730028821
"208","HSUP-01","T3",47.6,"outer_slope","steep_slope","Species richness",5,5.88888888888889,2.43119842388097,5,10.6539502389661
"209","HSUP-01","T4",39.6,"outer_slope","steep_slope","Species richness",5,5.47619047619048,1.21959955906032,5,7.86656168750963
"210","HSUP-01","T5",28.4,"outer_slope","gentle_slope","Species richness",9,11.2,5.04371939026894,9,21.0855083530534
"211","HSUP-01","T6",18.6,"outer_slope","moderate_slope","Species richness",8,13.75,5.2533827507777,8,24.0464409885283
"212","HSUP-01","T7",13.7,"outer_slope","steep_slope","Species richness",11,11.6486486486486,3.08606299097943,11,17.6972209649903
"213","HSUP-01","T8",9.6,"outer_slope","steep_slope","Species richness",9,11.175,5.44261083088478,9,21.8423212104018
"214","JULI-01","T1",98,"outer_slope","steep_slope","Species richness",1,1,0,1,1
"215","JULI-01","T3",68,"outer_slope","flat","Species richness",1,1,0,1,1
"216","JULI-01","T7",34.9,"outer_slope","gentle_slope","Species richness",6,8.86363636363636,2.11708391583881,6,13.0130445909295
"217","JULI-01","T8",28,"outer_slope","gentle_slope","Species richness",2,2,0.196946385566932,2,2.38600782259653
"218","JULI-02","T2",94.2,"outer_slope","moderate_slope","Species richness",1,1,0,1,1
"219","JULI-02","T3",86.4,"outer_slope","moderate_slope","Species richness",1,1,0,1,1
"220","JULI-02","T4",77,"outer_slope","moderate_slope","Species richness",2,2,0.256432399976243,2,2.50259826842261
"221","JULI-02","T5",67.1,"outer_slope","moderate_slope","Species richness",4,4.21875,1.62837004791892,4,7.41029664742484
"222","JULI-02","T6",59.1,"outer_slope","gentle_slope","Species richness",1,1,0,1,1
"223","JULI-02","T8",47.6,"outer_slope","gentle_slope","Species richness",5,5,0.748596958772895,5,6.46722307813109
"224","JULI-02","T9",35.4,"outer_slope","moderate_slope","Species richness",6,13.1111111111111,6.1386966416668,6,25.142735440795
"225","KENN-01","T1",40.8,"outer_slope","steep_slope","Species richness",6,10.125,4.35154575719848,6,18.6538729611871
"226","KENN-01","T2",31.1,"outer_slope","steep_slope","Species richness",7,18.25,7.42400580018713,7,32.8007839893832
"227","KENN-01","T3",31.4,"outer_slope","gentle_slope","Species richness",11,13.1964285714286,4.45687865196257,11,21.9317502127406
"228","KENN-01","T4",32.3,"outer_slope","gentle_slope","Species richness",4,5.75,2.28931663970284,4,10.2369781630258
"229","KENN-02","T4",20,"lagoon","gentle_slope","Species richness",1,1,0,1,1
"230","LORN-01","T1",45.1,"outer_slope","flat","Species richness",3,3,0.37359782943247,3,3.73223829038998
"231","LORN-01","T10",4,"outer_slope","flat","Species richness",4,5.71428571428571,1.93124233841767,4,9.49945114300327
"232","LORN-01","T12",55.6,"outer_slope","steep_slope","Species richness",2,2.5,0.719058728161653,2,3.90932920996602
"233","LORN-01","T13",55.2,"outer_slope","steep_slope","Species richness",3,5,1.42644574896751,3,7.79578229387658
"234","LORN-01","T5",31.7,"outer_slope","flat","Species richness",1,1,0,1,1
"235","LORN-01","T6",32.5,"outer_slope","flat","Species richness",4,5.71428571428571,2.24827701500018,4,10.1208276909553
"236","LORN-01","T6",46,"outer_slope","steep_slope","Species richness",1,1,0,1,1
"237","LORN-01","T7",34,"outer_slope","flat","Species richness",3,3,0.582634863219138,3,4.14194334804693
"238","LORN-01","T7",36.5,"outer_slope","flat","Species richness",2,2.33333333333333,1.26979942210987,2,4.82209446825846
"239","LORN-01","T8",27,"outer_slope","flat","Species richness",3,3.44444444444444,1.33668256864256,3,6.06429413774636
"240","LORN-01","T8",40,"outer_slope","gentle_slope","Species richness",6,6.15625,2.4107110970746,6,10.8811569273973
"241","LORN-01","T9",44.8,"outer_slope","gentle_slope","Species richness",5,5.90909090909091,1.94953672336141,5,9.7301126734175
"242","LORN-01","T9",9,"outer_slope","flat","Species richness",5,10.1428571428571,4.53323897642717,5,19.0278422699676
"243","LORN-02","T4",15,"lagoon","flat","Species richness",7,7.12222222222222,2.7264897824724,7,12.4660440000846
"244","LORN-02","T5",7,"lagoon","flat","Species richness",7,10.6363636363636,5.31710488504349,7,21.0576977130709
"245","MARG-01","T10",9,"outer_slope","gentle_slope","Species richness",12,23.7395833333333,12.9814446556269,12,49.1827473256619
"246","MARG-01","T5",53.3,"outer_slope","steep_slope","Species richness",2,2.33333333333333,1.26732217665392,2,4.81723915638393
"247","MARG-01","T6",43.6,"outer_slope","moderate_slope","Species richness",5,9,3.41378337731765,5,15.6908924705641
"248","MARG-01","T7",34.2,"outer_slope","moderate_slope","Species richness",1,1,0,1,1
"249","MARG-01","T8",25.2,"outer_slope","moderate_slope","Species richness",10,36.7272727272727,13.1754286047173,10.903907181148,62.5506382733974
"250","MARG-01","T9",17.3,"outer_slope","gentle_slope","Species richness",2,2,0.479372485441102,2,2.93955280664401
"251","MARG-02","T10",6.4,"lagoon","moderate_slope","Species richness",6,10.390243902439,4.73500111193203,6,19.6706755485829
"252","MARG-02","T2",42.2,"lagoon","moderate_slope","Species richness",1,1,0,1,1
