"","Depth_group","Slope_group","Reef_2","Site","Habitat","Aspect_descriptive","Benthic_Complexity","Acanthurus_auranticavus","Acanthurus_blochii","Acanthurus_dussumieri","Acanthurus_fowleri","Acanthurus_grammoptilus","Acanthurus_guttatus","Acanthurus_leucocheilus","Acanthurus_lineatus","Acanthurus_nigricans","Acanthurus_nigricauda","Acanthurus_nigrofuscus","Acanthurus_nigroris","Acanthurus_olivaceus","Acanthurus_pyroferus","Acanthurus_triostegus","Acanthurus_xanthopterus","Bolbometopon_muricatum","Centropyge_bicolor","Centropyge_bispinosa","Centropyge_flavissima","Centropyge_heraldi","Centropyge_loriculus","Centropyge_tibicen","Centropyge_vrolikii","Cetoscarus_ocellatus","Chlorurus_bleekeri","Chlorurus_capistratoides","Chlorurus_microrhinos","Chlorurus_sordidus","Chlorurus_spilurus","Ctenochaetus_binotatus","Ctenochaetus_cyanocheilus","Ctenochaetus_striatus","Hipposcarus_longiceps","Kyphosus_bigibbus","Kyphosus_cinerascens","Kyphosus_vaigiensis","Naso_brachycentron","Naso_lituratus","Naso_tonganus","Naso_unicornis","Scarus_altipinnis","Scarus_chameleon","Scarus_dimidiatus","Scarus_festivus","Scarus_flavipectoralis","Scarus_forsteni","Scarus_frenatus","Scarus_ghobban","Scarus_globiceps","Scarus_longipinnis","Scarus_niger","Scarus_oviceps","Scarus_psittacus","Scarus_rivulatus","Scarus_rubroviolaceus","Scarus_schlegeli","Scarus_spinus","Scarus_tricolor","Siganus_argenteus","Siganus_fuscescens","Siganus_punctatissimus","Siganus_punctatus","Siganus_stellatus","Zebrasoma_scopas","Zebrasoma_velifer"
"11","Shallow","Slope","East Diamond","EDIA-01","bommie","moderate_slope",2,0,7,0,0,1,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Shallow","Slope","East Diamond","EDIA-02","inner_reef","steep_slope",2,0,1,0,0,1,0,0,0,1,0,16,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"13","Shallow","Slope","Frankie Cay","FRAN-01","outer_reef","gentle_slope",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Shallow","Slope","Frankie Cay","FRAN-01","outer_reef","moderate_slope",2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"15","Shallow","Slope","Heralds Surprise","HSUP-01","outer_reef","gentle_slope",4,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,6,0,0,0,0,0,0,0,0,1,19,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Shallow","Slope","Hermit Crab Islet","HERM-01","lagoon","gentle_slope",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Shallow","Slope","Margaret Cay","MARG-01","outer_reef","gentle_slope",4,0,3,0,0,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,7,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Shallow","Slope","Margaret Cay","MARG-01","outer_reef","moderate_slope",1,0,1,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"19","Shallow","Slope","Margaret Cay","MARG-02","lagoon","moderate_slope",0,0,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Shallow","Slope","Margaret Cay","MARG-02","lagoon","moderate_slope",1,0,87,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
"21","Shallow","Slope","South Diamond","SDIA-02","outer_reef","gentle_slope",2,0,23,0,0,4,0,0,0,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"22","Shallow","Slope","South Diamond","SDIA-02","outer_reef","gentle_slope",3,0,1,0,0,9,0,0,0,0,0,8,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"23","Shallow","Wall","Bougainville","BOUG-01","outer_reef","wall",3,0,4,11,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"24","Shallow","Wall","East Diamond","EDIA-01","bommie","wall",2,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"25","Upper_mesophotic","Flat","East Diamond","EDIA-02","inner_reef","flat",1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"26","Upper_mesophotic","Flat","Lorna Cay","LORN-01","outer_slope","flat",2,0,2,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"27","Upper_mesophotic","Flat","Marion","MARI-02","lagoon","flat",1,0,12,0,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"28","Upper_mesophotic","Flat","Marion","MARI-02","lagoon","flat",2,0,3,0,0,3,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,7
"29","Upper_mesophotic","Flat","Middle Cay","MIDD-01","inner_reef","flat",1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Upper_mesophotic","Flat","South Diamond","SDIA-02","outer_reef","flat",2,0,6,0,0,0,0,0,0,0,0,4,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","Upper_mesophotic","Flat","South Diamond","SDIA-02","outer_reef","flat",3,0,1,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Upper_mesophotic","Slope","East Diamond","EDIA-01","bommie","gentle_slope",2,0,3,0,0,1,0,0,0,0,0,26,0,0,49,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0
"33","Upper_mesophotic","Slope","Frankie Cay","FRAN-01","outer_reef","steep_slope",3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"34","Upper_mesophotic","Slope","Lorna Cay","LORN-01","outer_slope","gentle_slope",3,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"35","Upper_mesophotic","Slope","Margaret Cay","MARG-01","outer_reef","moderate_slope",0,0,1,0,0,1,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Upper_mesophotic","Wall","Turtle Islet","TURT-01","outer_reef","wall",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Lower_mesophotic","Slope","Edna Cay","EDNA-01","outer_reef","moderate_slope",5,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Lower_mesophotic","Wall","Osprey","OSPR-03","outer_reef","wall",3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Shallow","Flat","Marion","MARI-02","lagoon","flat",0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Shallow","Flat","Saumarez","SAUM-01","inner_reef","flat",1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","Shallow","Slope","North Flinders","FLIN-04","lagoon","gentle_slope",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"42","Shallow","Slope","Southwest Cay","SWCA-01","outer_reef","gentle_slope",1,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"43","Shallow","Wall","Bougainville","BOUG-01","outer_reef","wall",4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"44","Upper_mesophotic","Flat","Lorna Cay","LORN-01","outer_slope","flat",3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","Upper_mesophotic","Slope","East Holmes","HOLM-02","outer_reef","gentle_slope",2,0,0,2,0,0,0,0,0,0,0,1,1,1,5,0,3,0,1,2,0,7,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0
"46","Upper_mesophotic","Slope","Edna Cay","EDNA-01","outer_reef","moderate_slope",4,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
"47","Upper_mesophotic","Slope","Juliette Cay","JULI-01","outer_reef","gentle_slope",3,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Upper_mesophotic","Slope","Lorna Cay","LORN-01","outer_slope","gentle_slope",2,0,0,2,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","Upper_mesophotic","Slope","West Herald","HERA-01","passage","gentle_slope",3,0,0,9,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"50","Lower_mesophotic","Wall","Observation Cay","OBSN-01","outer_reef","wall",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","Shallow","Flat","Lorna Cay","LORN-02","lagoon","flat",1,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"52","Shallow","Slope","East Diamond","EDIA-02","inner_reef","moderate_slope",3,0,0,0,0,1,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"53","Shallow","Slope","East Holmes","HOLM-02","outer_reef","gentle_slope",2,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"54","Shallow","Slope","East Holmes","HOLM-04","outer_slope","gentle_slope",1,0,0,0,0,2,0,0,0,0,0,3,0,8,11,0,1,0,1,0,0,0,0,0,1,0,1,0,2,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0
"55","Shallow","Slope","Frederick","FRED-02","lagoon","gentle_slope",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","Shallow","Slope","Middle Cay","MIDD-01","inner_reef","steep_slope",3,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","Shallow","Slope","Osprey","OSPR-03","outer_reef","moderate_slope",1,0,0,0,0,1,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,14,0,132,0,0,0,0,0,1,0,0,0,6,0,0,1,0,1,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,4,4
"58","Shallow","Wall","Observation Cay","OBSN-01","outer_reef","wall",1,0,0,0,0,1,0,5,3,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,25,0,0,9,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,3
"59","Upper_mesophotic","Flat","North Flinders","FLIN-02","lagoon","flat",0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","Upper_mesophotic","Slope","East Holmes","HOLM-04","outer_slope","gentle_slope",1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"61","Upper_mesophotic","Slope","Margaret Cay","MARG-02","lagoon","moderate_slope",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","Upper_mesophotic","Slope","South Flinders","FLIN-01","outer_reef","gentle_slope",3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","Upper_mesophotic","Slope","West Holmes","HOLM-03","outer_reef","gentle_slope",4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"64","Shallow","Flat","Lorna Cay","LORN-01","outer_slope","flat",1,0,0,0,0,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","Shallow","Slope","West Holmes","HOLM-03","outer_reef","gentle_slope",4,0,0,0,0,0,0,1,3,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,6,1,4,0,3,0,0,0,66,1,0,0,1,0,4,0,0,0,1,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"66","Shallow","Slope","Osprey","OSPR-02","outer_reef","moderate_slope",2,0,0,0,0,0,0,0,2,7,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,9,15,0,77,3,2,1,0,0,4,0,0,0,0,1,0,0,1,7,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,4,4
"67","Shallow","Flat","Betty Cay","BETT-01","outer_reef","flat",3,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,23,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
"68","Shallow","Slope","East Diamond","EDIA-02","inner_reef","gentle_slope",2,0,0,0,0,0,0,0,0,1,0,3,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"69","Shallow","Slope","Heralds Surprise","HSUP-01","outer_reef","steep_slope",2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,7,7,0,8,7,0,0,0,0,5,1,0,2,0,0,0,0,13,4,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","Shallow","Slope","Osprey","OSPR-02","outer_reef","gentle_slope",1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,66,10,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,12,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"71","Shallow","Slope","Osprey","OSPR-02","outer_reef","moderate_slope",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,4,10,0,53,0,0,26,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,7,0,0,0,0,1,1,0,0,0,0,0,0,3,0
