"","Reef_2","Site","Transect","Depth_m","Habitat","Aspect","Benthic_Complexity","Diversity","Observed","Estimator","s.e.","LCL","UCL"
"39","Bougainville","BOUG-01","T4",67.8,"outer_slope","wall","5","Species richness",1,1,0,1,1
"40","Bougainville","BOUG-01","T4",85.7,"outer_slope","wall","3.5","Species richness",1,1,0,1,1
"41","Bougainville","BOUG-01","T5",81.9,"outer_slope","steep_slope","4","Species richness",1,1,0,1,1
"42","Bougainville","BOUG-01","T6",58.1,"outer_slope","steep_slope","4","Species richness",3,3.83333333333333,1.17603114007421,3,6.13831201257636
"43","Bougainville","BOUG-01","T6",76.4,"outer_slope","steep_slope","4","Species richness",1,1,0,1,1
"44","Bougainville","BOUG-01","T7",57.8,"outer_slope","steep_slope","5","Species richness",2,2.5,0.746354777934364,2,3.96282848444074
"45","Bougainville","BOUG-01","T8",57.2,"outer_slope","steep_slope","5","Species richness",1,1,0,1,1
"46","Bougainville","BOUG-01","T8",66.3,"outer_slope","steep_slope","4","Species richness",3,4.5,2.00047342881477,3,8.42085587250631
"47","Bougainville","BOUG-02","T1",67.1,"outer_slope","steep_slope","3","Species richness",2,2.33333333333333,0.889999306422257,2,4.07769992018658
"48","Bougainville","BOUG-02","T10",52.1,"outer_slope","steep_slope","3","Species richness",3,4.5,1.6762979292103,3,7.78548356861126
"49","Bougainville","BOUG-02","T11",47.6,"outer_slope","steep_slope","3","Species richness",1,1,0,1,1
"50","Bougainville","BOUG-02","T13",45.8,"outer_slope","steep_slope","2.5","Species richness",2,2.33333333333333,1.24926914661069,2,4.78185586768737
"51","Bougainville","BOUG-02","T14",45,"outer_slope","moderate_slope","3","Species richness",1,1,0,1,1
"52","Bougainville","BOUG-02","T15",44.9,"outer_slope","wall","2.5","Species richness",1,1,0,1,1
"53","Bougainville","BOUG-02","T18",33.1,"outer_slope","wall","3","Species richness",1,1,0,1,1
"54","Bougainville","BOUG-02","T19",32.5,"outer_slope","steep_slope","3","Species richness",5,5.93333333333333,2.22097231684089,5,10.286359085002
"55","Bougainville","BOUG-02","T2",67.1,"outer_slope","steep_slope","3","Species richness",2,2.5,0.690849279707758,2,3.85403970697264
"56","Bougainville","BOUG-02","T20",31.1,"outer_slope","moderate_slope","3","Species richness",11,45.1052631578947,20.1848091489713,11,84.6667621246931
"57","Bougainville","BOUG-02","T21",28.4,"outer_slope","wall","2.5","Species richness",4,8.5,2.23165359717358,4.12603932357053,12.8739606764295
"58","Bougainville","BOUG-02","T22",27.3,"outer_slope","wall","2.5","Species richness",4,6.5,2.40631111725843,4,11.2162831254249
"59","Bougainville","BOUG-02","T23",24.8,"outer_slope","steep_slope","3","Species richness",3,5,1.45097204153625,3,7.8438529439856
"60","Bougainville","BOUG-02","T24",24.2,"outer_slope","wall","2.5","Species richness",2,2.5,0.703239258393226,2,3.87832361896538
"61","Bougainville","BOUG-02","T25",22.3,"outer_slope","steep_slope","2.5","Species richness",7,18.25,7.8030954263243,7,33.5437860035248
"62","Bougainville","BOUG-02","T26",15.4,"outer_slope","moderate_slope","3","Species richness",3,5,1.46372524146152,3,7.86884875652677
"63","Bougainville","BOUG-02","T27",13.4,"outer_slope","steep_slope","2.5","Species richness",6,13.1111111111111,5.70526226027656,6,24.2932196636087
"64","Bougainville","BOUG-02","T28",9.8,"outer_slope","steep_slope","2","Species richness",3,5,1.42424099147431,3,7.79146104859527
"65","Bougainville","BOUG-02","T3",64.5,"outer_slope","steep_slope","3","Species richness",2,2,0.472581562625261,2,2.92624284250317
"66","Bougainville","BOUG-02","T5",63,"outer_slope","wall","3","Species richness",1,1,0,1,1
"67","Bougainville","BOUG-02","T6",58.4,"outer_slope","moderate_slope","3.5","Species richness",1,1,0,1,1
"68","Bougainville","BOUG-02","T7",57.7,"outer_slope","moderate_slope","3.5","Species richness",1,1,0,1,1
"69","Bougainville","BOUG-02","T8",55.3,"outer_slope","moderate_slope","3.5","Species richness",7,14.4285714285714,7.54365874608325,7,29.2138708825552
"70","Bougainville","BOUG-02","T9",53.6,"outer_slope","moderate_slope","3.5","Species richness",3,5,1.41430879240333,3,7.77199429612886
"71","East Diamond","EDIA-01","T1",48,"lagoon","flat","2","Species richness",1,1,0,1,1
"72","East Diamond","EDIA-01","T10",25,"lagoon","gentle_slope","2","Species richness",3,3.85714285714286,1.20143784537946,3,6.21191776375
"73","East Diamond","EDIA-01","T11",26,"lagoon","moderate_slope","2","Species richness",3,3.45454545454545,1.39740227432434,3,6.19340358413552
"74","East Diamond","EDIA-01","T12",21,"lagoon","moderate_slope","2","Species richness",6,11.5714285714286,3.68155149971235,6,18.7871369180942
"75","East Diamond","EDIA-01","T13",15,"lagoon","moderate_slope","2","Species richness",1,1,0,1,1
"76","East Diamond","EDIA-01","T14",19,"lagoon","wall","2","Species richness",3,5,1.46617683892764,3,7.87365379926496
"77","East Diamond","EDIA-01","T15",15,"lagoon","wall","2","Species richness",1,1,0,1,1
"78","East Diamond","EDIA-01","T16",10,"lagoon","wall","2","Species richness",3,3,0.652004162263883,3,4.27790467580742
"79","East Diamond","EDIA-01","T2",50,"lagoon","flat","2","Species richness",1,1,0,1,1
"80","East Diamond","EDIA-01","T3",48,"lagoon","gentle_slope","2","Species richness",3,3,0.455259820243529,3,3.8922928512855
"81","East Diamond","EDIA-01","T4",45,"lagoon","gentle_slope","2","Species richness",2,2,0.368452949177471,2,2.72215451038541
"82","East Diamond","EDIA-01","T5",45,"lagoon","gentle_slope","2","Species richness",4,4.46153846153846,1.3934887905912,4,7.19272630395749
"83","East Diamond","EDIA-01","T6",39,"lagoon","gentle_slope","2","Species richness",4,4.91666666666667,1.46791859542886,4,7.79373424594385
"84","East Diamond","EDIA-01","T7",38,"lagoon","gentle_slope","2","Species richness",4,4.94736842105263,0.815066991561487,4,6.54487036950056
"85","East Diamond","EDIA-01","T8",32,"lagoon","gentle_slope","2","Species richness",3,4.5,1.95388114151079,3,8.32953666743316
"86","East Diamond","EDIA-01","T9",32,"lagoon","gentle_slope","2","Species richness",6,10.25,4.04330768846785,6,18.1747374478109
"87","East Diamond","EDIA-02","T1",30.9,"inner_reef","flat","1","Species richness",3,4.5,2.11427925489439,3,8.64391119285318
"88","East Diamond","EDIA-02","T10",8.7,"inner_reef","steep_slope","2","Species richness",3,3.4375,1.25544049625877,3,5.89811815740028
"89","East Diamond","EDIA-02","T2",25,"inner_reef","steep_slope","2","Species richness",5,9.05,3.50850262313792,5,15.9265387810146
"90","East Diamond","EDIA-02","T4",24.2,"inner_reef","gentle_slope","2","Species richness",3,3.875,1.16427379065062,3,6.15693469781914
"91","East Diamond","EDIA-02","T5",20,"inner_reef","gentle_slope","2","Species richness",6,8.025,4.28370970961649,6,16.4209167510729
"92","East Diamond","EDIA-02","T6",19.1,"inner_reef","gentle_slope","2","Species richness",4,7.6,3.64705499012698,4,14.748096430286
"93","East Diamond","EDIA-02","T7",15.4,"inner_reef","moderate_slope","3","Species richness",7,14.3333333333333,6.71944574310046,7,27.5032049858812
"94","East Diamond","EDIA-02","T8",15.2,"inner_reef","moderate_slope","2","Species richness",6,6.92857142857143,2.25458034215048,6,11.3474676994384
"95","East Diamond","EDIA-02","T9",9,"inner_reef","steep_slope","2","Species richness",5,9.21875,4.29740159479824,5,17.6415023529095
"96","East Holmes","HOLM-02","T1",62.7,"outer_slope","steep_slope","3","Species richness",2,2.5,0.697234798067598,2,3.86655509298055
"97","East Holmes","HOLM-02","T10",37,"outer_slope","gentle_slope","2","Species richness",6,10.1538461538462,5.09471399225132,6,20.139302090191
"98","East Holmes","HOLM-02","T11",35,"outer_slope","gentle_slope","2","Species richness",12,50.25,19.6233014473756,12,88.710964094629
"99","East Holmes","HOLM-02","T12",31.2,"outer_slope","gentle_slope","2","Species richness",4,4.83333333333333,2.35542973625287,4,9.44989078450363
"100","East Holmes","HOLM-02","T13",28,"outer_slope","gentle_slope","2","Species richness",10,13.8095238095238,7.84087131153323,10,29.1773491875423
"101","East Holmes","HOLM-02","T2",63.7,"outer_slope","steep_slope","3","Species richness",2,2,0.238683256575942,2,2.46781058660158
"102","East Holmes","HOLM-02","T4",63.2,"outer_slope","steep_slope","4","Species richness",2,2,0.32659863237109,2,2.64012155684737
"103","East Holmes","HOLM-02","T6",56.6,"outer_slope","steep_slope","3","Species richness",1,1,0,1,1
"104","East Holmes","HOLM-02","T7",54.5,"outer_slope","steep_slope","4","Species richness",3,5,1.44725445397327,3,7.83656660625278
"105","East Holmes","HOLM-02","T9",45,"outer_slope","wall","4","Species richness",2,2.5,0.676891289781319,2,3.82668254942025
"106","East Holmes","HOLM-04","T10",7,"outer_slope","moderate_slope","1","Species richness",1,1,0,1,1
"107","East Holmes","HOLM-04","T11",3,"outer_slope","gentle_slope","1","Species richness",4,6.5,2.98537352882713,4,12.3512245969004
"108","East Holmes","HOLM-04","T3",41,"outer_slope","gentle_slope","1","Species richness",2,2.33333333333333,1.24300060541035,2,4.76956975269911
"109","East Holmes","HOLM-04","T4",37,"outer_slope","gentle_slope","1","Species richness",3,3,0.476984077275906,3,3.93487161265985
"110","East Holmes","HOLM-04","T5",32,"outer_slope","gentle_slope","1","Species richness",7,14.3333333333333,6.17212253815347,7,26.4304712162821
"111","East Holmes","HOLM-04","T6",28,"outer_slope","gentle_slope","1","Species richness",3,3.8,1.12944788514235,3,6.01367717729394
"112","East Holmes","HOLM-04","T6",71,"outer_slope","wall","1","Species richness",1,1,0,1,1
"113","East Holmes","HOLM-04","T7",22,"outer_slope","gentle_slope","1","Species richness",7,10.7333333333333,5.28325573949236,7,21.0883243038529
"114","East Holmes","HOLM-04","T8",17,"outer_slope","gentle_slope","1","Species richness",9,20.9565217391304,10.3593506443056,9,41.2604759051911
"115","East Holmes","HOLM-04","T9",12,"outer_slope","moderate_slope","1","Species richness",5,6.92857142857143,2.56575412060079,5,11.9573570981342
"116","Edna Cay","EDNA-01","T10",19.1,"outer_slope","flat","3","Species richness",1,1,0,1,1
"117","Edna Cay","EDNA-01","T11",14,"outer_slope","moderate_slope","3","Species richness",1,1,0,1,1
"118","Edna Cay","EDNA-01","T12",9.8,"outer_slope","flat","1","Species richness",5,5,0.711445060607912,5,6.39440669577042
"119","Edna Cay","EDNA-01","T3",79,"outer_slope","moderate_slope","5","Species richness",5,5.88888888888889,2.6549149493351,5,11.0924265716027
"120","Edna Cay","EDNA-01","T7",48,"outer_slope","moderate_slope","3","Species richness",2,2.33333333333333,1.31297590377955,2,4.90671881731018
"121","Edna Cay","EDNA-01","T8",39,"outer_slope","moderate_slope","4","Species richness",9,18.4736842105263,6.0188332147302,9,30.2703805403509
"122","Edna Cay","EDNA-01","T9",26.7,"outer_slope","gentle_slope","3","Species richness",4,4.47222222222222,1.24133849373463,4,6.90520096256529
"123","Frankie Cay","FRAN-01","T10",8,"outer_slope","gentle_slope","1","Species richness",2,2.33333333333333,1.25593540334435,2,4.79492149079705
"124","Frankie Cay","FRAN-01","T7",35,"outer_slope","steep_slope","3","Species richness",6,18.5,4.66454158865834,9.35766648184042,27.6423335181596
"125","Frankie Cay","FRAN-01","T8",25,"outer_slope","moderate_slope","2","Species richness",8,9.4,4.09295586394509,8,17.4220460836444
"126","Frankie Cay","FRAN-01","T9",14,"outer_slope","moderate_slope","1","Species richness",4,6.75,1.81878968864946,4,10.3147622852058
"127","Frederick","FRED-01","T1",34.8,"inner_reef","gentle_slope","1","Species richness",3,3,0.661896702150858,3,4.29729369770152
"128","Frederick","FRED-02","T14",24,"lagoon","gentle_slope","0","Species richness",1,1,0,1,1
"129","Georgina Cay","GEOR-01","T10",51.4,"outer_slope","moderate_slope","3","Species richness",2,2,0.348735088019777,2,2.68350821266417
"130","Georgina Cay","GEOR-01","T13",41.2,"outer_slope","steep_slope","2","Species richness",1,1,0,1,1
"131","Georgina Cay","GEOR-01","T14",36.2,"outer_slope","moderate_slope","2","Species richness",4,5.71428571428571,2.17575232168708,4,9.97868190407181
"132","Georgina Cay","GEOR-01","T15",32.6,"outer_slope","gentle_slope","2","Species richness",2,2,0.21904291355759,2,2.4293162216416
"133","Heralds Surprise","HSUP-01","T1",61.3,"outer_slope","steep_slope","4","Species richness",2,2.5,0.738548945875997,2,3.94752933473697
"134","Heralds Surprise","HSUP-01","T2",55.5,"outer_slope","steep_slope","5","Species richness",3,4.5,2.0909315984735,3,8.59815062714483
"135","Heralds Surprise","HSUP-01","T3",47.6,"outer_slope","steep_slope","4","Species richness",5,5.88888888888889,2.23700358973368,5,10.2733353580537
"136","Heralds Surprise","HSUP-01","T4",39.6,"outer_slope","steep_slope","4","Species richness",5,5.47619047619048,1.39578834649997,5,8.21188536537112
"137","Heralds Surprise","HSUP-01","T5",28.4,"outer_slope","gentle_slope","4","Species richness",9,11.2,4.81074443893893,9,20.6288858391466
"138","Heralds Surprise","HSUP-01","T6",18.6,"outer_slope","moderate_slope","3","Species richness",8,13.75,4.90880363036531,8,23.3710783226955
"139","Heralds Surprise","HSUP-01","T7",13.7,"outer_slope","steep_slope","2","Species richness",11,11.6486486486486,2.90835979471525,11,17.3489291003748
"140","Heralds Surprise","HSUP-01","T8",9.6,"outer_slope","steep_slope","2","Species richness",9,11.175,5.58422103704901,9,22.119872114327
"141","Hermit Crab Islet","HERM-01","T1",46.2,"lagoon","flat","1","Species richness",5,5,0.947746864969023,5,6.85754972180003
"142","Hermit Crab Islet","HERM-01","T10",30.3,"lagoon","flat","3","Species richness",8,12.3125,4.61254125102852,8,21.3529147292212
"143","Hermit Crab Islet","HERM-01","T11",31,"lagoon","flat","2","Species richness",7,7.1171875,2.71412005174118,7,12.4367650511307
"144","Hermit Crab Islet","HERM-01","T12",33.2,"lagoon","flat","1","Species richness",1,1,0,1,1
"145","Hermit Crab Islet","HERM-01","T13",21.1,"lagoon","flat","1","Species richness",2,2,0.337997668989631,2,2.66246325807817
"146","Hermit Crab Islet","HERM-01","T14",22,"lagoon","flat","1","Species richness",3,3.8,1.37369809807194,3,6.49239879785217
"147","Hermit Crab Islet","HERM-01","T16",23.7,"lagoon","gentle_slope","0","Species richness",1,1,0,1,1
"148","Hermit Crab Islet","HERM-01","T17",14.1,"lagoon","moderate_slope","0","Species richness",4,7.6,3.08122761839557,4,13.6390951602254
"149","Hermit Crab Islet","HERM-01","T18",15.2,"lagoon","moderate_slope","0","Species richness",4,4.9,1.373518577533,4,7.59204694406137
"150","Hermit Crab Islet","HERM-01","T19",13.5,"lagoon","moderate_slope","0","Species richness",6,6.11538461538461,2.21577645351985,6,10.4582266620754
"151","Hermit Crab Islet","HERM-01","T2",46.6,"lagoon","flat","1","Species richness",3,3.9,0.767719303712581,3,5.40470218551282
"152","Hermit Crab Islet","HERM-01","T2",48.1,"lagoon","flat","1","Species richness",2,2,0.492365963917331,2,2.96501955649132
"153","Hermit Crab Islet","HERM-01","T20",10.2,"lagoon","moderate_slope","0","Species richness",6,15,4.74602531072054,6,24.3020386787278
"154","Hermit Crab Islet","HERM-01","T3",46.8,"lagoon","flat","1","Species richness",2,2,0.21904291355759,2,2.4293162216416
"155","Hermit Crab Islet","HERM-01","T4",47.1,"lagoon","flat","0","Species richness",1,1,0,1,1
"156","Hermit Crab Islet","HERM-01","T5",38.7,"lagoon","flat","2","Species richness",1,1,0,1,1
"157","Hermit Crab Islet","HERM-01","T5",46.4,"lagoon","flat","1","Species richness",1,1,0,1,1
"158","Hermit Crab Islet","HERM-01","T6",40.2,"lagoon","flat","2","Species richness",2,2.5,0.661266003415212,2,3.79605755089456
"159","Hermit Crab Islet","HERM-01","T7",41.2,"lagoon","flat","2","Species richness",3,3,0.630731853608175,3,4.23621171697421
"160","Hermit Crab Islet","HERM-01","T7",47.7,"lagoon","flat","1","Species richness",3,4.5,1.9927330098347,3,8.40568493008011
"161","Hermit Crab Islet","HERM-01","T8",42.5,"lagoon","flat","2","Species richness",3,3.41666666666667,1.28436897955585,3,5.9339836094566
"162","Hermit Crab Islet","HERM-01","T8",47.9,"lagoon","flat","1","Species richness",2,2,0.32659863237109,2,2.64012155684737
"163","Hermit Crab Islet","HERM-01","T9",30.1,"lagoon","flat","3","Species richness",8,29.7777777777778,10.901159569518,8.41189763179826,51.1436579237573
"164","Juliette Cay","JULI-01","T1",98,"outer_slope","steep_slope","4","Species richness",1,1,0,1,1
"165","Juliette Cay","JULI-01","T3",68,"outer_slope","flat","3","Species richness",1,1,0,1,1
"166","Juliette Cay","JULI-01","T7",34.9,"outer_slope","gentle_slope","3","Species richness",6,8.86363636363636,1.49639725813472,6,11.7965210961449
"167","Juliette Cay","JULI-01","T8",28,"outer_slope","gentle_slope","3","Species richness",2,2,0.301511344577764,2,2.59095137630266
"168","Juliette Cay","JULI-02","T2",94.2,"outer_slope","moderate_slope","3","Species richness",1,1,0,1,1
"169","Juliette Cay","JULI-02","T3",86.4,"outer_slope","moderate_slope","3","Species richness",1,1,0,1,1
"170","Juliette Cay","JULI-02","T4",77,"outer_slope","moderate_slope","3.5","Species richness",2,2,0.31446603773522,2,2.61634210832205
"171","Juliette Cay","JULI-02","T5",67.1,"outer_slope","moderate_slope","3","Species richness",4,4.21875,1.94722868394006,4,8.03524809018584
"172","Juliette Cay","JULI-02","T6",59.1,"outer_slope","gentle_slope","1.5","Species richness",1,1,0,1,1
"173","Juliette Cay","JULI-02","T8",47.6,"outer_slope","gentle_slope","1.5","Species richness",5,5,0.778985733934995,5,6.52678398298309
"174","Juliette Cay","JULI-02","T9",35.4,"outer_slope","moderate_slope","3","Species richness",6,13.1111111111111,6.86678135085601,6,26.5697552485002
"175","Kenn","KENN-01","T1",40.8,"outer_slope","steep_slope","4","Species richness",6,10.125,4.33051745925017,6,18.6126582545522
"176","Kenn","KENN-01","T2",31.1,"outer_slope","steep_slope","4","Species richness",7,18.25,9.37593732687969,7,36.6264994819889
"177","Kenn","KENN-01","T3",31.4,"outer_slope","gentle_slope","3","Species richness",11,13.1964285714286,5.09167337708005,11,23.1759250115469
"178","Kenn","KENN-01","T4",32.3,"outer_slope","gentle_slope","3","Species richness",4,5.75,2.10432649689253,4,9.8744041456227
"179","Kenn","KENN-02","T4",20,"lagoon","gentle_slope","0","Species richness",1,1,0,1,1
"180","Lorna Cay","LORN-01","T1",45.1,"outer_slope","flat","2","Species richness",3,3,0.368452949177471,3,3.72215451038541
"181","Lorna Cay","LORN-01","T10",4,"outer_slope","flat","1","Species richness",4,5.71428571428571,2.23313106552278,4,10.0911421754679
"182","Lorna Cay","LORN-01","T12",55.6,"outer_slope","steep_slope","4","Species richness",2,2.5,0.676891289781319,2,3.82668254942025
"183","Lorna Cay","LORN-01","T13",55.2,"outer_slope","steep_slope","3","Species richness",3,5,1.40264300782751,3,7.74912977850885
"184","Lorna Cay","LORN-01","T5",31.7,"outer_slope","flat","2","Species richness",1,1,0,1,1
"185","Lorna Cay","LORN-01","T6",32.5,"outer_slope","flat","2","Species richness",4,5.71428571428571,1.79429956405901,4,9.23104823731729
"186","Lorna Cay","LORN-01","T6",46,"outer_slope","steep_slope","1","Species richness",1,1,0,1,1
"187","Lorna Cay","LORN-01","T7",34,"outer_slope","flat","2","Species richness",3,3,0.507120012492809,3,3.99393696032541
"188","Lorna Cay","LORN-01","T7",36.5,"outer_slope","flat","3","Species richness",2,2.33333333333333,1.2119124399333,2,4.70863806801867
"189","Lorna Cay","LORN-01","T8",27,"outer_slope","flat","2","Species richness",3,3.44444444444444,1.20580288338941,3,5.80777466834224
"190","Lorna Cay","LORN-01","T8",40,"outer_slope","gentle_slope","3","Species richness",6,6.15625,2.64572490844076,6,11.3417755335444
"191","Lorna Cay","LORN-01","T9",44.8,"outer_slope","gentle_slope","2","Species richness",5,5.90909090909091,2.03339513795814,5,9.89447214582773
"192","Lorna Cay","LORN-01","T9",9,"outer_slope","flat","1","Species richness",5,10.1428571428571,3.73308015529903,5,17.4595597986444
"193","Lorna Cay","LORN-02","T4",15,"lagoon","flat","1","Species richness",7,7.12222222222222,3.20018776468294,7,13.3944749847665
"194","Lorna Cay","LORN-02","T5",7,"lagoon","flat","3","Species richness",7,10.6363636363636,5.96947380638473,7,22.3363173035329
"195","Margaret Cay","MARG-01","T10",9,"outer_slope","gentle_slope","4","Species richness",12,23.7395833333333,11.0635006787337,12,45.4236462065858
"196","Margaret Cay","MARG-01","T5",53.3,"outer_slope","steep_slope","1","Species richness",2,2.33333333333333,1.24926914661069,2,4.78185586768737
"197","Margaret Cay","MARG-01","T6",43.6,"outer_slope","moderate_slope","0","Species richness",5,9,4.0258949506148,5,16.8906091087467
"198","Margaret Cay","MARG-01","T7",34.2,"outer_slope","moderate_slope","0","Species richness",1,1,0,1,1
"199","Margaret Cay","MARG-01","T8",25.2,"outer_slope","moderate_slope","1","Species richness",10,36.7272727272727,12.8533580018352,11.5351539632761,61.9193914912693
"200","Margaret Cay","MARG-01","T9",17.3,"outer_slope","gentle_slope","4","Species richness",2,2,0.468826172262151,2,2.91888241264359
"201","Margaret Cay","MARG-02","T10",6.4,"lagoon","moderate_slope","1","Species richness",6,10.390243902439,4.47006588908177,6,19.1514120535603
"202","Margaret Cay","MARG-02","T2",42.2,"lagoon","moderate_slope","0","Species richness",1,1,0,1,1
"203","Margaret Cay","MARG-02","T3",34.5,"lagoon","moderate_slope","0","Species richness",1,1,0,1,1
"204","Margaret Cay","MARG-02","T4",34.9,"lagoon","moderate_slope","0","Species richness",1,1,0,1,1
"205","Margaret Cay","MARG-02","T8",13.8,"lagoon","moderate_slope","0","Species richness",2,2,0.487831731214563,2,2.95613262369637
"206","Margaret Cay","MARG-02","T9",7.7,"lagoon","moderate_slope","1","Species richness",5,6.96875,2.06491930077199,5,11.0159174604947
"207","Marion","MARI-01","T1",33.9,"lagoon","flat","2","Species richness",3,3.88888888888889,1.01519261074553,3,5.87862984332133
"208","Marion","MARI-01","T6",35,"lagoon","flat","1","Species richness",3,3.83333333333333,1.02984742476449,3,5.85179719544306
"209","Marion","MARI-02","T1",18,"lagoon","flat","0","Species richness",4,4.225,1.3948249184146,4,6.95880660483164
"210","Marion","MARI-02","T10",45,"lagoon","flat","2","Species richness",5,5,1.13976804009633,5,7.23390430931861
"211","Marion","MARI-02","T11",46,"lagoon","flat","2","Species richness",1,1,0,1,1
"212","Marion","MARI-02","T12",46,"lagoon","flat","2","Species richness",5,9.09090909090909,3.80607574304532,5,16.5506804697094
"213","Marion","MARI-02","T13",48,"lagoon","flat","2","Species richness",3,3.8,1.23630436578073,3,6.22311203085986
"214","Marion","MARI-02","T14",45,"lagoon","flat","2","Species richness",3,3.8,1.65934756559147,3,7.0522614663935
"215","Marion","MARI-02","T15",44,"lagoon","flat","2","Species richness",3,3.8,1.62239254675235,3,6.97983096042082
"216","Marion","MARI-02","T16",46,"lagoon","flat","2","Species richness",5,5.90909090909091,2.05104158233666,5,9.9290585412648
